game_player_id,game_id,game,round,phase,season_code,player_id,is_starter,is_playing,team_id,dorsal,player,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,season_year,minutes_played
U2023_117_WRO,U2023_117,WRO-BUD,12,REGULAR SEASON,U2023,WRO,False,True,WRO,TOTAL,Slask Wroclaw,79,17,30,11,27,12,17,7,20,27,20,8,10,4,3,19,20,92,0,2023,200.0
U2023_117_BUD,U2023_117,WRO-BUD,12,REGULAR SEASON,U2023,BUD,False,True,BUD,TOTAL,Buducnost Voli Podgorica,80,25,40,6,19,12,19,11,24,35,13,6,12,3,4,20,19,85,0,2023,200.0
U2023_011_BES,U2023_011,BES-PMT,2,REGULAR SEASON,U2023,BES,False,True,BES,TOTAL,Besiktas Emlakjet Istanbul,92,22,38,10,21,18,20,7,26,33,14,4,9,4,3,18,23,111,0,2023,200.0
U2023_011_PMT,U2023_011,BES-PMT,2,REGULAR SEASON,U2023,PMT,False,True,PMT,TOTAL,Prometey Slobozhanske,70,24,47,5,20,7,11,14,20,34,14,5,11,3,4,24,18,63,0,2023,200.0
U2023_014_VNC,U2023_014,VNC-PRS,2,REGULAR SEASON,U2023,VNC,False,True,VNC,TOTAL,Umana Reyer Venice,75,18,39,9,18,12,17,6,23,29,16,4,13,3,4,22,21,74,0,2023,200.0
U2023_014_PRS,U2023_014,VNC-PRS,2,REGULAR SEASON,U2023,PRS,False,True,PRS,TOTAL,Paris Basketball,81,20,38,8,23,17,22,9,25,34,13,9,9,4,3,21,22,92,0,2023,200.0
U2023_025_BES,U2023_025,BES-LJU,3,REGULAR SEASON,U2023,BES,False,True,BES,TOTAL,Besiktas Emlakjet Istanbul,73,23,52,5,20,12,18,17,29,46,15,5,8,3,3,21,18,78,0,2023,200.0
U2023_025_LJU,U2023_025,BES-LJU,3,REGULAR SEASON,U2023,LJU,False,True,LJU,TOTAL,Cedevita Olimpija Ljubljana,66,18,43,4,17,18,21,10,29,39,8,5,13,3,3,18,21,67,0,2023,200.0
U2023_159_WRO,U2023_159,WRO-CAN,16,REGULAR SEASON,U2023,WRO,False,True,WRO,TOTAL,Slask Wroclaw,68,18,38,6,16,14,24,5,27,32,13,2,17,1,3,14,17,59,0,2023,200.0
U2023_159_CAN,U2023_159,WRO-CAN,16,REGULAR SEASON,U2023,CAN,False,True,CAN,TOTAL,Dreamland Gran Canaria,92,26,42,12,30,4,4,7,29,36,27,13,9,3,1,18,14,123,0,2023,200.0
U2023_016_TRN,U2023_016,TRN-BOU,2,REGULAR SEASON,U2023,TRN,False,True,TRN,TOTAL,Dolomiti Energia Trento,72,19,41,6,30,16,20,20,28,48,20,4,14,2,2,20,20,80,0,2023,200.0
U2023_016_BOU,U2023_016,TRN-BOU,2,REGULAR SEASON,U2023,BOU,False,True,BOU,TOTAL,Mincidelice Jl Bourg En Bresse,79,15,38,11,28,16,20,13,28,41,23,11,13,2,2,20,20,97,0,2023,200.0
U2023_116_CLU,U2023_116,CLU-BOU,12,REGULAR SEASON,U2023,CLU,False,True,CLU,TOTAL,U-Bt Cluj-Napoca,89,19,33,9,24,24,28,10,23,33,15,6,13,0,1,24,26,98,0,2023,200.0
U2023_116_BOU,U2023_116,CLU-BOU,12,REGULAR SEASON,U2023,BOU,False,True,BOU,TOTAL,Mincidelice Jl Bourg En Bresse,98,19,36,15,25,15,25,9,22,31,19,8,10,1,0,27,22,105,0,2023,200.0
U2023_046_BOU,U2023_046,BOU-BUD,5,REGULAR SEASON,U2023,BOU,False,True,BOU,TOTAL,Mincidelice Jl Bourg En Bresse,78,17,41,12,25,8,11,11,27,38,14,6,12,2,3,17,15,81,0,2023,200.0
U2023_046_BUD,U2023_046,BOU-BUD,5,REGULAR SEASON,U2023,BUD,False,True,BUD,TOTAL,Buducnost Voli Podgorica,73,24,45,6,19,7,9,8,27,35,21,9,10,3,2,15,17,95,0,2023,200.0
U2023_003_PRS,U2023_003,PRS-WOL,1,REGULAR SEASON,U2023,PRS,False,True,PRS,TOTAL,Paris Basketball,105,26,41,12,27,17,20,11,22,33,24,9,7,2,2,16,21,136,0,2023,200.0
